"Continent","Chrome","IE","Firefox","Yandex Browser","Safari","Android","Edge","Opera","Sogou Explorer","QQ Browser","Maxthon","UC Browser","Coc Coc","360 Safe Browser","Chromium","Amigo","Silk","SeaMonkey","Iron","Phantom","Pale Moon"
Cote dIvoire ,45.23,6.23,29.18,0,2.67,2.13,0,13.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,42.46,18.54,17.62,0,3.94,2.29,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,30.84,20.61,26.61,0,16.86,0,1.32,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,8.42,11.69,77.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,44.81,5.89,21.81,0,13.89,3.23,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas ,48.21,21.97,8.73,0,13.97,2.11,2.22,0,0,0,0,0,0,0,0,0,1.08,0,0,0,0
Barbados ,53.01,14.14,13.88,0,8.66,2.5,3.15,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,40.06,11.27,33.25,0,10.35,1.71,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,27.32,37.64,6.42,0,25.06,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya ,55.66,9.5,18.17,0,5.91,3.14,0,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda ,33.54,9.43,48.19,0,2.72,0,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal ,48.28,9.84,26.8,0,5.05,1.86,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,33.22,12.13,31.69,0,4.52,1.7,0,14.36,0,0,0,0,0,0,0,0,0,0,0,0,0
Macao ,52.68,18.61,9.58,0,14.17,1.46,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,29.01,18.85,30.74,0,3.05,1.21,0,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,31.82,13.05,44.15,0,2.31,0,0,5.62,0,0,1.39,0,0,0,0,0,0,0,0,0,0
Cameroon ,27.53,6.46,55.07,0,2.4,2.1,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,45.35,23.18,13.99,0,9.13,1.25,1.27,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,52.61,9.61,23.73,0,8.67,1.63,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan ,32.94,12.82,40.05,0,2.53,1.57,0,7.42,0,0,1.11,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,32.1,28.4,8.66,0,27.84,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maldives ,62.3,5.04,21.52,0,7.11,1.45,0,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,33.12,6.19,46.97,0,3.18,1.42,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,43.89,18.14,18.17,0,13.14,2.33,1.85,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,43.25,19.4,8.52,0,23.62,1.06,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,55.86,7.22,13.12,2.39,3.32,1.61,0,13.06,0,0,0,0,0,0,0,1.4,0,0,0,0,0
 ,81.48,31.11,18.52,0,25.14,1.68,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22
Guyana ,57.79,13.74,15.27,0,4.29,2.99,1.63,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,48.61,17.87,15.96,0,10.73,2.86,2.17,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,39.73,24.01,27.29,0,3.75,1.57,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname ,52.21,17.67,12.21,0,6.84,6.01,1.69,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,60.53,6.69,10.4,2.17,3.49,1.35,0,11.69,0,0,0,0,0,0,0,2.14,0,0,0,0,0
Namibia ,38.82,23.72,17.61,0,5.53,2.33,1.63,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,33.32,18.02,24.25,0,5.88,2.31,1.23,13.31,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,43.19,22.12,12.36,0,16.36,1.94,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam ,44.02,13.37,11.48,0,25.38,2.03,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji ,48.28,11.87,29.54,0,6.1,1.87,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,43.34,17.56,24.38,0,6.68,2.6,1.04,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada ,56.06,17.81,10.36,0,7.92,2.73,1.68,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0
Andorra ,27.64,48.1,9.85,0,11.33,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti ,44.35,20.25,16.44,0,8.75,3.12,1.23,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,50.44,12.44,20.62,0,9.15,3.86,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,31.71,19.65,25.09,0,7.09,2.39,0,12.41,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,57.98,11.66,12.29,0,6.92,2.7,4.13,1.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Somalia ,58.7,8.97,18.15,0,2.89,1.33,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,54.66,5.99,27.63,0,1.81,1.16,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,37.63,11.3,27.42,0,19.46,1.38,1.17,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,45.33,20.12,19.44,0,8.71,1.82,1.53,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,38.35,14.97,24.33,0,17.32,1.86,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,63.29,14.34,11.97,0,4.72,1.84,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,49.84,13.78,14.68,0,11.59,2.38,1.71,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,32.22,21.47,8.87,0,33.14,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,69.52,5.91,16.97,0,4.05,1.11,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,38.78,10.09,35.68,0,4.63,1.37,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands ,42.46,19.62,12.08,0,22.13,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,66.68,9.31,10.04,0,6.23,2.61,1.69,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic of the),26.17,10.94,22.05,0,4.09,2.01,0,33.12,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,62.45,10.96,11.88,0,6.45,2.79,2.23,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,47.27,14.19,8.91,0,23.52,1.25,1.9,0,0,0,0,0,0,0,1.71,0,0,0,0,0,0
Togo ,26.2,7.55,50.22,0,2.25,1.23,0,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,38.59,31.38,18.81,0,4.71,2.58,0,2.59,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,54.07,8.21,28.34,0,3.99,1.05,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi ,26.85,17.78,24.19,0,3.35,1.77,0,23.75,0,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,28.93,30.22,8.22,0,28,0,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,57.06,11.92,12.34,0,10.88,1.68,2.77,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,54.87,7.83,26.73,0,3.97,1.22,0,3.87,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,52.17,11.95,8.71,3.93,3.93,2.68,0,12.62,0,0,0,0,0,0,0,1.63,0,0,0,0,0
Monaco ,34.16,18.06,15.55,0,29.36,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,51.68,16.13,8.7,0,18.57,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,26.15,13.96,37.78,0,4.34,4.25,0,11.42,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,32.76,19.89,32.56,0,4.69,2.5,0,5.18,0,0,0,1.22,0,0,0,0,0,0,0,0,0
Seychelles ,39.93,16.7,27.96,0,7.41,1.77,1.19,2.75,0,0,0,0,0,0,0,0,0,1.62,0,0,0
Turks and Caicos Islands ,45.53,30.22,10.27,0,10.27,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,10.17,12.63,9.28,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0,63.16,0,0
